seq_name,cell_types_98,cell_types_50,cell_types_25
SM-D9CXP_S06_E1-50,L6 CT VISp Krt80 Sla,n47,n46
SM-D9CXP_S07_E1-50,L6 CT VISp Krt80 Sla,n47,n46
SM-D9CXP_S09_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
SM-D9CXP_S10_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
SM-D9CXP_S11_E1-50,L6 CT VISp Ctxn3 Brinp3,n47,n46
SM-D9CXP_S12_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
SM-D9CXP_S13_E1-50,L6 CT VISp Krt80 Sla,n47,n46
SM-D9CXP_S14_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
SM-D9CXP_S16_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
SM-D9CXP_S17_E1-50,L6 CT VISp Krt80 Sla,n47,n46
SM-D9CXP_S18_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
SM-D9CXP_S19_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
SM-D9CXP_S20_E1-50,L6 CT VISp Krt80 Sla,n47,n46
SM-D9CXP_S21_E1-50,L6 CT VISp Krt80 Sla,n47,n46
SM-D9CXP_S22_E1-50,L6 CT VISp Gpr139,L6 CT VISp Gpr139,n46
SM-D9CXP_S23_E1-50,L6 CT VISp Krt80 Sla,n47,n46
SM-D9CXP_S24_E1-50,L6 CT VISp Krt80 Sla,n47,n46
SM-D9CXQ_S73_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
SM-D9CXQ_S74_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
SM-D9CXQ_S75_E1-50,L6 CT VISp Krt80 Sla,n47,n46
SM-D9CXQ_S76_E1-50,L6 CT VISp Ctxn3 Brinp3,n47,n46
SM-D9CXQ_S77_E1-50,L6 CT VISp Ctxn3 Brinp3,n47,n46
SM-D9CXQ_S78_E1-50,L6 CT VISp Ctxn3 Brinp3,n47,n46
SM-D9CXQ_S79_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
SM-D9CXQ_S80_E1-50,L6 CT VISp Krt80 Sla,n47,n46
SM-D9CXQ_S81_E1-50,L6 CT VISp Krt80 Sla,n47,n46
SM-D9CXQ_S82_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
SM-D9CXQ_S83_E1-50,L6 CT VISp Ctxn3 Brinp3,n47,n46
SM-D9CXQ_S84_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
SM-D9CXQ_S85_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
SM-D9CXQ_S86_E1-50,L6 CT VISp Krt80 Sla,n47,n46
SM-D9CXQ_S87_E1-50,L6 CT VISp Krt80 Sla,n47,n46
SM-D9CXQ_S88_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
SM-D9CXQ_S89_E1-50,L6 CT VISp Krt80 Sla,n47,n46
SM-D9CXQ_S90_E1-50,L6 CT VISp Krt80 Sla,n47,n46
SM-D9CXQ_S91_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
SM-D9CXQ_S92_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
SM-D9CXQ_S93_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
SM-D9CXQ_S94_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
SM-D9CXQ_S95_E1-50,L6 CT VISp Krt80 Sla,n47,n46
SM-D9CXQ_S96_E1-50,L6 CT VISp Ctxn3 Brinp3,n47,n46
SM-D9CXR_S73_E1-50,L6 CT VISp Krt80 Sla,n47,n46
SM-D9CXR_S74_E1-50,L6 CT VISp Krt80 Sla,n47,n46
SM-D9CXR_S75_E1-50,L6b VISp Col8a1 Rxfp1,n54,n52
SM-D9CXR_S76_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
SM-D9CXR_S77_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
SM-D9CXR_S79_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
SM-D9CXR_S80_E1-50,L6 CT VISp Gpr139,L6 CT VISp Gpr139,n46
SM-D9CXR_S81_E1-50,L6 CT VISp Krt80 Sla,n47,n46
SM-D9CXR_S82_E1-50,L6 CT VISp Ctxn3 Brinp3,n47,n46
SM-D9CXR_S83_E1-50,L6 CT VISp Gpr139,L6 CT VISp Gpr139,n46
SM-D9CXR_S84_E1-50,L6 CT VISp Krt80 Sla,n47,n46
SM-D9CXR_S85_E1-50,L6 CT VISp Krt80 Sla,n47,n46
SM-D9CXR_S86_E1-50,L6 CT VISp Krt80 Sla,n47,n46
SM-D9CXR_S87_E1-50,L6 CT VISp Ctxn3 Brinp3,n47,n46
SM-D9CXR_S88_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
SM-D9CXR_S89_E1-50,L6 CT VISp Krt80 Sla,n47,n46
SM-D9CXR_S90_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
SM-D9CXR_S91_E1-50,L6 CT VISp Krt80 Sla,n47,n46
SM-D9CXR_S92_E1-50,L6 CT VISp Krt80 Sla,n47,n46
SM-D9CXR_S93_E1-50,L6 CT VISp Ctxn3 Brinp3,n47,n46
SM-D9CXR_S94_E1-50,L6 CT VISp Krt80 Sla,n47,n46
SM-D9CXR_S96_E1-50,L6 CT VISp Gpr139,L6 CT VISp Gpr139,n46
SM-D9CXY_S90_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
SM-D9CXY_S91_E1-50,L6 CT VISp Ctxn3 Brinp3,n47,n46
SM-D9CXY_S92_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
SM-D9CXY_S93_E1-50,L6 CT VISp Krt80 Sla,n47,n46
SM-D9E61_S57_E1-50,L6 IT VISp Penk Col27a1,n33,n33
SM-D9E61_S58_E1-50,L6 IT VISp Col18a1,n33,n33
SM-D9E61_S59_E1-50,L6 IT VISp Penk Fst,n33,n33
SM-D9E61_S60_E1-50,L6 IT VISp Col23a1 Adamts2,n33,n33
SM-D9E61_S61_E1-50,L6 IT VISp Penk Fst,n33,n33
SM-D9E61_S62_E1-50,L6 IT VISp Penk Fst,n33,n33
SM-D9E61_S63_E1-50,L6 IT VISp Penk Col27a1,n33,n33
SM-D9E61_S64_E1-50,L6 IT VISp Col23a1 Adamts2,n33,n33
SM-D9E61_S65_E1-50,L6 IT VISp Penk Fst,n33,n33
SM-D9E61_S66_E1-50,L6 IT VISp Penk Fst,n33,n33
SM-D9E61_S67_E1-50,L6 IT VISp Penk Col27a1,n33,n33
SM-D9E61_S68_E1-50,L6 IT VISp Penk Col27a1,n33,n33
SM-D9E61_S69_E1-50,Sst Crh 4930553C11Rik ,n98,n91
SM-D9E61_S70_E1-50,L6 IT VISp Penk Fst,n33,n33
SM-D9E61_S71_E1-50,L6 IT VISp Col23a1 Adamts2,n33,n33
SM-D9E61_S72_E1-50,Sst Crhr2 Efemp1,n98,n91
SM-D9E62_S57_E1-50,Sst Tac1 Tacr3,Sst Tac1 Tacr3,n91
SM-D9E62_S58_E1-50,Vip Crispld2 Kcne4,n65,n64
SM-D9E62_S59_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
SM-D9E62_S60_E1-50,Vip Crispld2 Htr2c,n65,n64
SM-D9E62_S61_E1-50,Sst Calb2 Pdlim5,n108,n91
SM-D9E62_S62_E1-50,Vip Chat Htr1f,n72,n66
SM-D9E62_S64_E1-50,L2/3 IT VISp Adamts2,n39,n36
SM-D9E62_S65_E1-50,Lamp5 Fam19a1 Tmem182,n81,n79
SM-D9E62_S66_E1-50,Vip Crispld2 Kcne4,n65,n64
SM-D9E62_S67_E1-50,L2/3 IT VISp Rrad,n39,n36
SM-D9E62_S68_E1-50,Sst Tac1 Tacr3,Sst Tac1 Tacr3,n91
SM-D9E62_S69_E1-50,Vip Pygm C1ql1,n72,n66
SM-D9E62_S70_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
SM-D9E62_S71_E1-50,L2/3 IT VISp Rrad,n39,n36
SM-D9E62_S72_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
SM-D9E63_S65_E1-50,Vip Chat Htr1f,n72,n66
SM-D9E63_S66_E1-50,L2/3 IT VISp Agmat,n39,n36
SM-D9E63_S67_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
SM-D9E63_S68_E1-50,Vip Chat Htr1f,n72,n66
SM-D9E63_S69_E1-50,Vip Lect1 Oxtr,n73,n66
SM-D9E63_S70_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
SM-D9E63_S71_E1-50,Vip Lect1 Oxtr,n73,n66
SM-D9E63_S72_E1-50,Lamp5 Plch2 Dock5,n82,n79
SM-D9E63_S73_E1-50,Vip Igfbp4 Mab21l1,Vip Igfbp4 Mab21l1,n66
SM-D9E63_S74_E1-50,Pvalb Tpbg,n111,n110
SM-D9E63_S75_E1-50,Sst Tac1 Htr1d,n105,n91
SM-D9E63_S76_E1-50,Vip Crispld2 Kcne4,n65,n64
SM-D9E63_S78_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
SM-D9E63_S79_E1-50,L2/3 IT VISp Agmat,n39,n36
SM-D9E63_S80_E1-50,Vip Crispld2 Htr2c,n65,n64
SM-D9E63_S81_E1-50,Vip Crispld2 Htr2c,n65,n64
SM-D9E63_S83_E1-50,L2/3 IT VISp Agmat,n39,n36
SM-D9E63_S84_E1-50,Pvalb Tpbg,n111,n110
SM-D9E63_S85_E1-50,Vip Lect1 Oxtr,n73,n66
SM-D9E63_S86_E1-50,Pvalb Tpbg,n111,n110
SM-D9E63_S87_E1-50,Vip Crispld2 Kcne4,n65,n64
SM-D9E63_S88_E1-50,Vip Crispld2 Htr2c,n65,n64
SM-D9E63_S89_E1-50,L2/3 IT VISp Adamts2,n39,n36
SM-D9E63_S90_E1-50,Vip Chat Htr1f,n72,n66
SM-D9E63_S91_E1-50,Vip Crispld2 Htr2c,n65,n64
SM-D9E63_S92_E1-50,L2/3 IT VISp Rrad,n39,n36
SM-D9E63_S93_E1-50,Vip Crispld2 Kcne4,n65,n64
SM-D9E63_S95_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
SM-D9E63_S96_E1-50,Sst Calb2 Pdlim5,n108,n91
SM-D9E61_S73_E1-50,L2/3 IT VISp Agmat,n39,n36
SM-D9E61_S74_E1-50,Vip Lect1 Oxtr,n73,n66
SM-D9E61_S75_E1-50,Pvalb Tpbg,n111,n110
SM-D9E61_S76_E1-50,Vip Pygm C1ql1,n72,n66
SM-D9E61_S77_E1-50,Vip Chat Htr1f,n72,n66
SM-D9E61_S78_E1-50,L2/3 IT VISp Agmat,n39,n36
SM-D9E61_S79_E1-50,Lamp5 Ntn1 Npy2r,n82,n79
SM-D9E61_S80_E1-50,Vip Lect1 Oxtr,n73,n66
SM-D9E61_S81_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
SM-D9E61_S82_E1-50,Pvalb Tpbg,n111,n110
SM-D9E61_S83_E1-50,Lamp5 Ntn1 Npy2r,n82,n79
SM-D9E61_S84_E1-50,Pvalb Tpbg,n111,n110
SM-D9E61_S85_E1-50,Pvalb Tpbg,n111,n110
SM-D9E61_S86_E1-50,L2/3 IT VISp Rrad,n39,n36
SM-D9E61_S87_E1-50,Vip Crispld2 Htr2c,n65,n64
SM-D9E61_S88_E1-50,L2/3 IT VISp Agmat,n39,n36
SM-D9E61_S89_E1-50,Pvalb Tpbg,n111,n110
SM-D9E61_S90_E1-50,Vip Pygm C1ql1,n72,n66
SM-D9E61_S91_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
SM-D9E61_S92_E1-50,L2/3 IT VISp Rrad,n39,n36
SM-D9E61_S93_E1-50,L2/3 IT VISp Rrad,n39,n36
SM-D9E61_S94_E1-50,Vip Crispld2 Htr2c,n65,n64
SM-D9E61_S95_E1-50,Pvalb Tpbg,n111,n110
SM-D9E61_S96_E1-50,Vip Rspo1 Itga4,n73,n66
SM-D9E62_S73_E1-50,Sst Rxfp1 Eya1,n100,n91
SM-D9E62_S74_E1-50,L6 IT VISp Penk Col27a1,n33,n33
SM-D9E62_S75_E1-50,L6 IT VISp Col23a1 Adamts2,n33,n33
SM-D9E62_S77_E1-50,L6 IT VISp Penk Col27a1,n33,n33
SM-D9E62_S78_E1-50,L6 IT VISp Penk Fst,n33,n33
SM-D9E62_S79_E1-50,L6 IT VISp Penk Col27a1,n33,n33
SM-D9E62_S80_E1-50,L6 IT VISp Penk Fst,n33,n33
SM-D9E62_S81_E1-50,L6 IT VISp Penk Col27a1,n33,n33
SM-D9E62_S82_E1-50,L6 IT VISp Penk Fst,n33,n33
SM-D9E62_S83_E1-50,L6 IT VISp Col23a1 Adamts2,n33,n33
SM-D9E62_S84_E1-50,L6 IT VISp Penk Col27a1,n33,n33
SM-D9E62_S85_E1-50,L6 IT VISp Penk Fst,n33,n33
SM-D9E62_S86_E1-50,L6 IT VISp Col23a1 Adamts2,n33,n33
SM-D9E62_S87_E1-50,L6 IT VISp Col23a1 Adamts2,n33,n33
SM-D9E62_S89_E1-50,L6 IT VISp Penk Col27a1,n33,n33
SM-D9E62_S91_E1-50,L6 IT VISp Col23a1 Adamts2,n33,n33
SM-D9E62_S92_E1-50,L6 IT VISp Col23a1 Adamts2,n33,n33
SM-D9E62_S93_E1-50,L6 IT VISp Penk Fst,n33,n33
SM-D9E62_S94_E1-50,L6 IT VISp Penk Col27a1,n33,n33
SM-D9E62_S95_E1-50,L6 IT VISp Penk Col27a1,n33,n33
SM-D9E62_S96_E1-50,L6 IT VISp Penk Col27a1,n33,n33
SM-D9E66_S91_E1-50,L6 IT VISp Penk Col27a1,n33,n33
SM-GE672_S121_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
SM-GE672_S122_E1-50,Lamp5 Lhx6,Lamp5 Lhx6,n78
SM-GE672_S123_E1-50,Lamp5 Lhx6,Lamp5 Lhx6,n78
SM-GE672_S124_E1-50,Sst Chodl,Sst Chodl,Sst Chodl
SM-GE672_S125_E1-50,Lamp5 Ntn1 Npy2r,n82,n79
SM-GE672_S126_E1-50,Sst Chodl,Sst Chodl,Sst Chodl
SM-GE672_S127_E1-50,Sst Tac1 Htr1d,n105,n91
SM-GE672_S128_E1-50,Lamp5 Lhx6,Lamp5 Lhx6,n78
SM-GE672_S129_E1-50,Sst Tac1 Htr1d,n105,n91
SM-GE672_S130_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
SM-GE672_S131_E1-50,Sst Tac1 Htr1d,n105,n91
SM-GE672_S132_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
SM-GE672_S133_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
SM-GE672_S134_E1-50,Vip Igfbp6 Pltp,n62,n62
SM-GE672_S135_E1-50,Vip Igfbp6 Pltp,n62,n62
SM-GE672_S136_E1-50,Sst Tac1 Tacr3,Sst Tac1 Tacr3,n91
SM-GE672_S137_E1-50,Vip Rspo4 Rxfp1 Chat,n73,n66
SM-GE672_S140_E1-50,Lamp5 Lhx6,Lamp5 Lhx6,n78
SM-GE672_S141_E1-50,Vip Rspo4 Rxfp1 Chat,n73,n66
SM-GE672_S142_E1-50,Sst Chodl,Sst Chodl,Sst Chodl
SM-GE672_S143_E1-50,Pvalb Tpbg,n111,n110
SM-GE672_S144_E1-50,Sst Chodl,Sst Chodl,Sst Chodl
SM-GE672_S145_E1-50,Vip Igfbp6 Pltp,n62,n62
SM-GE672_S146_E1-50,Vip Ptprt Pkp2,n73,n66
SM-GE672_S147_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
SM-GE672_S148_E1-50,Sst Tac1 Htr1d,n105,n91
SM-GE672_S149_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
SM-GE672_S150_E1-50,Sst Tac1 Htr1d,n105,n91
SM-GE672_S151_E1-50,Vip Ptprt Pkp2,n73,n66
SM-GE672_S152_E1-50,Lamp5 Lhx6,Lamp5 Lhx6,n78
SM-GE8ZL_S066_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
SM-GE8ZL_S067_E1-50,L2/3 IT VISp Rrad,n39,n36
SM-GE8ZL_S068_E1-50,L2/3 IT VISp Agmat,n39,n36
SM-GE8ZL_S069_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
SM-GE8ZL_S070_E1-50,Lamp5 Plch2 Dock5,n82,n79
SM-GE8ZL_S071_E1-50,L2/3 IT VISp Agmat,n39,n36
SM-GE8ZL_S073_E1-50,L2/3 IT VISp Rrad,n39,n36
SM-GE8ZL_S074_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
SM-GE8ZL_S075_E1-50,Sst Hpse Cbln4,n107,n91
SM-GE8ZL_S076_E1-50,L2/3 IT VISp Agmat,n39,n36
SM-GE8ZL_S077_E1-50,L2/3 IT VISp Agmat,n39,n36
SM-GE8ZL_S078_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
SM-GE8ZL_S079_E1-50,L2/3 IT VISp Agmat,n39,n36
SM-GE8ZL_S080_E1-50,L2/3 IT VISp Rrad,n39,n36
SM-GE8ZL_S089_E1-50,L2/3 IT VISp Agmat,n39,n36
SM-GE8ZL_S090_E1-50,Lamp5 Plch2 Dock5,n82,n79
